15:30:41 | Alertas=['MEDIUM_LATENCY'] | Latency=73.79484176635742 | Traffic=3
15:30:43 | Alertas=['MEDIUM_LATENCY'] | Latency=83.32514762878418 | Traffic=27
15:30:45 | Alertas=['MEDIUM_LATENCY'] | Latency=93.20712089538574 | Traffic=13
15:30:48 | Alertas=['MEDIUM_LATENCY'] | Latency=77.61120796203613 | Traffic=11
15:30:50 | Alertas=[] | Latency=69.29993629455566 | Traffic=4
15:30:52 | Alertas=['MEDIUM_LATENCY'] | Latency=79.35285568237305 | Traffic=8
15:30:54 | Alertas=['MEDIUM_LATENCY'] | Latency=70.04833221435547 | Traffic=2
15:30:56 | Alertas=['MEDIUM_LATENCY'] | Latency=84.41615104675293 | Traffic=4
15:30:59 | Alertas=['HIGH_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=633.1276893615723 | Traffic=53
15:31:02 | Alertas=['HOST_OFFLINE', 'HIGH_TRAFFIC'] | Latency=None | Traffic=104
15:31:05 | Alertas=['HOST_OFFLINE', 'MEDIUM_TRAFFIC'] | Latency=None | Traffic=57
15:31:07 | Alertas=['HIGH_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=3153.843879699707 | Traffic=61
15:31:10 | Alertas=['HOST_OFFLINE', 'MEDIUM_TRAFFIC'] | Latency=None | Traffic=84
15:31:14 | Alertas=['HOST_OFFLINE', 'MEDIUM_TRAFFIC'] | Latency=None | Traffic=61
15:31:17 | Alertas=['HOST_OFFLINE', 'MEDIUM_TRAFFIC'] | Latency=None | Traffic=64
15:31:20 | Alertas=['HOST_OFFLINE', 'MEDIUM_TRAFFIC'] | Latency=None | Traffic=57
15:31:23 | Alertas=['HOST_OFFLINE', 'MEDIUM_TRAFFIC'] | Latency=None | Traffic=73
15:31:26 | Alertas=['HOST_OFFLINE', 'MEDIUM_TRAFFIC'] | Latency=None | Traffic=52
15:31:28 | Alertas=['HIGH_LATENCY'] | Latency=3160.233497619629 | Traffic=32
15:31:30 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=88.37008476257324 | Traffic=87
15:31:32 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=94.24281120300293 | Traffic=73
15:31:35 | Alertas=['MEDIUM_LATENCY'] | Latency=80.83987236022949 | Traffic=49
15:31:37 | Alertas=['MEDIUM_LATENCY'] | Latency=83.47296714782715 | Traffic=19
15:31:39 | Alertas=[] | Latency=67.43049621582031 | Traffic=30
15:31:41 | Alertas=['MEDIUM_LATENCY'] | Latency=84.99360084533691 | Traffic=15
15:31:43 | Alertas=['MEDIUM_LATENCY'] | Latency=78.98330688476562 | Traffic=4
15:31:45 | Alertas=['MEDIUM_LATENCY'] | Latency=73.46820831298828 | Traffic=40
15:31:48 | Alertas=['MEDIUM_LATENCY'] | Latency=78.47070693969727 | Traffic=36
15:31:50 | Alertas=['MEDIUM_LATENCY'] | Latency=82.0775032043457 | Traffic=14
15:31:52 | Alertas=['MEDIUM_LATENCY'] | Latency=91.0637378692627 | Traffic=2
15:31:54 | Alertas=['MEDIUM_LATENCY'] | Latency=78.30166816711426 | Traffic=32
15:31:56 | Alertas=['MEDIUM_LATENCY'] | Latency=83.16302299499512 | Traffic=18
15:31:58 | Alertas=['MEDIUM_LATENCY'] | Latency=84.00917053222656 | Traffic=11
15:32:00 | Alertas=[] | Latency=67.40093231201172 | Traffic=4
15:32:03 | Alertas=['MEDIUM_LATENCY'] | Latency=71.64931297302246 | Traffic=6
15:32:05 | Alertas=['MEDIUM_LATENCY'] | Latency=76.88736915588379 | Traffic=10
15:32:07 | Alertas=['MEDIUM_LATENCY'] | Latency=79.62870597839355 | Traffic=21
15:32:09 | Alertas=['MEDIUM_LATENCY'] | Latency=82.4894905090332 | Traffic=9
15:33:28 | Alertas=['MEDIUM_LATENCY'] | Latency=75.85787773132324 | Traffic=2
15:33:30 | Alertas=['MEDIUM_LATENCY'] | Latency=82.57699012756348 | Traffic=11
15:33:33 | Alertas=['MEDIUM_LATENCY'] | Latency=83.26196670532227 | Traffic=6
15:33:35 | Alertas=['MEDIUM_LATENCY'] | Latency=78.1707763671875 | Traffic=2
15:33:37 | Alertas=['MEDIUM_LATENCY'] | Latency=78.61161231994629 | Traffic=5
15:33:39 | Alertas=['HIGH_LATENCY'] | Latency=164.2622947692871 | Traffic=4
15:33:42 | Alertas=['MEDIUM_LATENCY'] | Latency=77.23593711853027 | Traffic=32
15:33:44 | Alertas=['MEDIUM_LATENCY'] | Latency=74.72920417785645 | Traffic=29
15:33:46 | Alertas=['MEDIUM_LATENCY'] | Latency=78.64212989807129 | Traffic=8
15:33:48 | Alertas=['MEDIUM_LATENCY'] | Latency=70.07622718811035 | Traffic=1
15:33:50 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=84.12027359008789 | Traffic=52
15:33:53 | Alertas=['MEDIUM_LATENCY'] | Latency=76.09701156616211 | Traffic=1
15:33:55 | Alertas=[] | Latency=69.18478012084961 | Traffic=3
15:33:57 | Alertas=['MEDIUM_LATENCY'] | Latency=87.00275421142578 | Traffic=4
15:33:59 | Alertas=['MEDIUM_LATENCY'] | Latency=81.42375946044922 | Traffic=2
15:34:02 | Alertas=['MEDIUM_LATENCY'] | Latency=75.79779624938965 | Traffic=3
15:34:04 | Alertas=[] | Latency=66.88809394836426 | Traffic=7
15:34:06 | Alertas=['MEDIUM_LATENCY'] | Latency=70.86062431335449 | Traffic=16
15:34:08 | Alertas=[] | Latency=66.52092933654785 | Traffic=9
15:34:10 | Alertas=['MEDIUM_LATENCY'] | Latency=78.53412628173828 | Traffic=1
15:34:13 | Alertas=['MEDIUM_LATENCY'] | Latency=83.35757255554199 | Traffic=14
15:34:15 | Alertas=['MEDIUM_LATENCY'] | Latency=85.65807342529297 | Traffic=5
15:34:17 | Alertas=['MEDIUM_LATENCY'] | Latency=84.73968505859375 | Traffic=10
15:34:20 | Alertas=['HOST_OFFLINE'] | Latency=None | Traffic=0
15:34:24 | Alertas=['HOST_OFFLINE'] | Latency=None | Traffic=0
15:34:27 | Alertas=['HOST_OFFLINE'] | Latency=None | Traffic=0
15:34:30 | Alertas=['HOST_OFFLINE'] | Latency=None | Traffic=0
15:34:33 | Alertas=[] | Latency=0 | Traffic=9
15:34:35 | Alertas=['MEDIUM_LATENCY', 'HIGH_TRAFFIC'] | Latency=81.39514923095703 | Traffic=172
15:34:37 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=70.80292701721191 | Traffic=76
15:34:39 | Alertas=['MEDIUM_LATENCY'] | Latency=81.81118965148926 | Traffic=34
15:34:42 | Alertas=[] | Latency=67.86346435546875 | Traffic=3
15:34:45 | Alertas=['HOST_OFFLINE'] | Latency=None | Traffic=2
15:34:47 | Alertas=['MEDIUM_LATENCY'] | Latency=73.6534595489502 | Traffic=25
